Airline,Colors
Aegean Airlines,"""#00217A, #94AACB"""
Aer Lingus,"""#006472, #82C341"""
AeroItalia,"""#328040, #4EA047, #D82E32"""
Air Arabia,"""#FF0041, #FFFFFF"""
Air Canada,"""#F01428, #000000"""
Air China,"""#ED1C24, #000000"""
Air Europa,"""""""#0970CB"""""""
Air France,"""#051040, #FF0000, #FFFFFF"""
Air France-KLM,"""#010736, #00A2DF"""
Air India,"""#DA0E29, #FED9A0"""
Air India (Old),"""#D9000D, #EF7000"""
Air India Express,"""#D8233D, #FF6423"""
Air New Zealand,"""""""#231F20"""""""
Air Serbia,"""""""#0E2040"""""""
Air Transat,"""#00B3F0, #172B54"""
AirAsia,"""""""#FF0000"""""""
AirSial,"""#054518, #016833, #008141, #C0985A"""
Airblue,"""#BCBCBC, #38418C"""
Airlink,"""#000000, #FFFFFF, #00652B, #D10E16, #002458, #CF871A, #FEE1AB"""
Akasa Air,"""#FF6300, #5C0FD9"""
Alaska Airlines,"""#01426A, #FFFFFF"""
All Nippon Airways,"""#0B318F, #00A3E6"""
Allegiant Air,"""#01579B, #F48120, #FBCE20"""
Alliance Air,"""#0D2240, #FFC627"""
American Airlines Group,"""#36495A, #0078D2, #C30019"""
AnadoluJet,"""#CE181E, #ED1C24, #01188A, #000000"""
Aramex,"""#DC291E, #FFFFFF"""
Asiana Airlines,"""#464A4C, #E30613"""
Austrian Airlines,"""#D7211B, #93282B"""
Avelo Airlines,"""#502E90, #1CBED1, #FFCE04"""
Avianca,"""""""#FF0000"""""""
Breeze Airways,"""#051833, #1F74DF"""
British Airways,"""#0035AD, #FFFFFF, #CC3333"""
Brussels Airlines,"""#051446, #E5002B"""
Cathay Pacific,"""""""#005D63"""""""
Cebu Pacific,"""#06A7E0, #039482, #2574BB"""
CheapOair,"""#004D9F, #FF4600, #B33100"""
China Eastern Airlines,"""#E50000, #00227F"""
Condor,"""#F8AC00, #4E4A47"""
Copa Airlines,"""""""#0060A9"""""""
Corendon Airlines,"""""""#D51317"""""""
Croatia Airlines,"""#ED1C24, #363F9E"""
Delta Air Lines,"""#003366, #C01933"""
EVA AIR,"""#00A64F, #FFFFFF, #F0451C"""
Easyjet,"""#FF5E00, #FFFFFF"""
Egypt Air,"""""""#00265D"""""""
Emirates (Airlines),"""#D71A21, #FFFFFF"""
Ethiopian Airlines,"""#C52528, #5E8F4D, #FFC92D"""
Etihad,"""""""#C4921B"""""""
Eurowings,"""#8F174F, #B4175E, #089BC9, #7BCBE2, #C8C4C3"""
FedEx,"""#660099, #FF6600"""
Finnair,"""""""#040842"""""""
Firefly Airlines,"""#FFCF02, #F79515, #F06519"""
Flair Airlines,"""""""#000000"""""""
FlyBig,"""""""#B62079"""""""
Flyadeal,"""#CDDE00, #522D6D"""
Flynas,"""""""#00B7AC"""""""
Freebird Airlines,"""#0055A4, #F68B1F"""
Frontier Airlines,"""#0F6744, #FFFFFF, #9A9B9C"""
Garuda Indonesia,"""#474343, #202D5C, #358E9D"""
Go First,"""#1E21AA, #FFFFFF"""
Gulf Air,"""#A18F63, #14141F"""
Hawaiian Airlines,"""#4B2D89, #CE0C88, #F9423A"""
ITA Airways,"""#0171CF, #FFFFFF, #BE210C"""
Iberia,"""#B11C25, #A61C22, #EF8314, #FACD08"""
Icelandair,"""#003A7B, #FCAF17, #FFFFFF"""
Indian Airlines,"""#E4671B, #FF4216, #FFFFFF, #000088"""
Indigo (Airlines),"""""""#001B94"""""""
Japan Airlines,"""#CC0000, #000000"""
Jazeera Air,"""#02BDEE, #0488C9, #004A9C, #0B148C"""
Jet Airways,"""#10193F, #FFB90A"""
Jetstar Airways,"""#FF5115, #000000"""
KLM,"""""""#00A1DE"""""""
Kuwait Airways,"""#1C285B, #FFFFFF"""
LOT Polish Airlines,"""""""#252668"""""""
Lufthansa Group,"""""""#0A1D3D"""""""
Luxair,"""""""#0090B8"""""""
Lynx Air,"""#D71920, #143F90"""
Middle East Airlines,"""#007B5E, #CF0F3D, #1378C7"""
Mokulele Airlines,"""#ED1C24, #F58220, #58595B"""
Montana Aerospace,"""""""#006271"""""""
Nile Air,"""#AE9C6E, #1B4889"""
Norwegian Air Shuttle,"""""""#EB0324"""""""
Oman Air,"""#B4975A, #A7A9AC"""
Pakistan International Airlines,"""#AB9214, #004F30"""
Pan Am,"""""""#2B67AC"""""""
Pegasus Airlines,"""""""#DC2C2B"""""""
Philippine Airlines,"""#001F60, #FFCC05, #FFFFFF, #EE2A29"""
Porter Airlines,"""#112855, #FFFFFF"""
Qantas,"""#BE0000, #FFFFFF, #323232"""
Qatar Airways,"""#660033, #666666"""
Royal Air Morocco,"""""""#C2002F"""""""
Royal Air Philippines,"""#FF3000, #FFF000"""
Royal Jordanian,"""#A6844B, #5F6367"""
Ryanair,"""#2B4779, #F4CA35"""
SalamAir,"""#81B43F, #00ACCA"""
Saudia,"""""""#0A6937"""""""
Scandinavian Airlines,"""""""#2B3087"""""""
Scoot,"""#FFE900, #FFFFFF, #1D1D1B"""
Shenzhen Airlines,"""#000000, #CC0327"""
Silver Airways,"""#D0006F, #FFFFFF"""
Singapore Airlines,"""#FCB130, #1D4886"""
South African Airways,"""#D92632, #FCAF17, #FFFFFF, #231F20, #008A43, #163683"""
Southwest Airlines,"""#304CB2, #D5152E, #FFBF27, #CCCCCC"""
SpiceJet,"""#F7A11C, #FCD800, #C30B12"""
Spirit Airlines,"""#FFEC00, #000000"""
SriLankan Airlines,"""#01742F, #DC001C, #FF3C00, #027499, #0F1E7D"""
Star Alliance,"""#5B5C5E, #999B9D, #C9CBCD"""
Sun Country Airlines,"""#F68235, #034484"""
SunExpress,"""#00458F, #EB680C"""
Swiss International Air Lines,"""#E60005, #FFFFFF"""
Swoop,"""""""#DF1995"""""""
TUI fly Belgium,"""#D40E14, #092A5E"""
Tap Air Portugal,"""#BFD730, #46A41A, #ED1C24, #BA141A"""
Thai Airlines,"""#F5C300, #370E62, #B6007D"""
Transavia,"""#00D66C, #FFFFFF"""
Turkish Airlines,"""#C70A0C, #FFFFFF, #000000"""
United Airlines,"""""""#0033A0"""""""
United Airlines (1973–2010),"""#000000, #0A46AF, #CF0200"""
United Parcel Service,"""#FFBE00, #330000"""
Vistara,"""#511D4B, #BB9753"""
Vueling,"""#000000, #FFCC00"""
WestJet,"""#1A3F70, #00AAA6"""
Wizz Air,"""#D3007F, #312782"""
airBaltic,"""#CDDA32, #152649"""
flydubai,"""#FF8200, #006496"""
jet2.com,"""""""#EF4138"""""""
jetBlue,"""""""#00205B"""""""
